trip_date,manufacturer,model,body_type,segment,battery_kwh,range_km,charging_type,price_eur,origin_city,origin_country,destination_city,destination_country,distance_km,co2_g_per_km,grid_intensity_gco2_per_kwh
2025-07-18,Nissan Motor Co.,Ariya,Coupe,Premium,87,491,DC,109372,Casablanca,Morocco,Singapore,Singapore,11899,65,450
2025-10-03,"Tesla, Inc.",Model S Dual Motor,Coupe,Compact,100,590,AC,88858,Beijing,China,Seoul,South Korea,954,69,550
2025-06-27,Rivian Automotive,R1S,Sedan,Compact,135,712,AC,100588,Melbourne,Australia,Casablanca,Morocco,17505,70,300
2025-06-16,Volvo Cars,XC40 Recharge,Coupe,Mid-size,78,409,DC,104051,Ho Chi Minh City,Vietnam,London,United Kingdom,10213,50,500
2025-04-23,Renault Group,Mégane E-Tech,Crossover,Mid-size,60,303,AC,115877,Buenos Aires,Argentina,Berlin,Germany,11887,70,350
2025-08-07,VinFast,VF 8,SUV,Mid-size,82,476,DC,101666,Los Angeles,United States,Berlin,Germany,9332,65,400
2025-01-27,"Tesla, Inc.",Model 3 Long Range,Compact SUV,Mid-size,82,440,AC,46763,Lagos,Nigeria,Casablanca,Morocco,3201,40,700
2025-03-27,SAIPA,Saina EV,Sedan,Luxury,40,221,DC,36136,Buenos Aires,Argentina,Tehran,Iran,13768,59,350
2025-10-03,Great Wall Motors,Ora Good Cat,Compact SUV,Mid-size,63,341,DC,56596,Tunis,Tunisia,Casablanca,Morocco,1655,70,500
2025-06-23,Rivian Automotive,R1S,Crossover,Premium,135,716,DC,116731,Cairo,Egypt,Delhi,India,4437,70,550
2025-02-02,Volvo Cars,EX30,Compact SUV,Compact,69,377,DC,92836,Hanoi,Vietnam,Singapore,Singapore,2187,61,450
2025-02-06,Rivian Automotive,R1S,Hatchback,Mid-size,135,682,DC,73077,Toronto,Canada,Buenos Aires,Argentina,8923,51,250
2025-08-18,VinFast,VF e34,SUV,Luxury,60,307,AC,54449,Tehran,Iran,Seoul,South Korea,6569,66,650
